concept,count
ACETAMINOPHEN,33995
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,31953
1000 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,30706
FUROSEMIDE,29774
potassium chloride,29434
POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,27536
SODIUM CHLORIDE 0.9%,27041
ACETAMINOPHEN 325 MG PO TABS,26808
SODIUM CHLORIDE 0.9 % IV : 1000 ML,23902
POTASSIUM CHLORIDE,23545
TYLENOL,22983
NaCl 0.9% MBP,22657
fentaNYL,22617
SODIUM CHLORIDE 0.9% 1000 ML LVP,20539
ONDANSETRON 2 MG/1 ML 2ML SDV INJ,20448
POTASSIUM CHLORIDE 20 MEQ PO PACK,20142
ZOFRAN,20113
NOVOLOG,19746
DEXTROSE 50%-WATER,18846
PANTOPRAZOLE SODIUM 40 MG IV SOLR,18529
GLUCOSE 15 GRAM/60 ML BQ LIQ,18506
LASIX,18322
MAGNESIUM SULFATE 2 GM/50 ML IVPB,18137
potassium CHLORIDE 20 mEq in,17607
potassium CHLORIDE 20 MEQ TR TAB,17478
SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,17433
100 ML  -  POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,16792
"Sodium Chloride 0.9% 1,000 ML BAG",16694
LORAZEPAM,15840
PANTOPRAZOLE SODIUM 40 MG PO TBEC,15585
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,15329
INSULIN-LISPRO (rDNA) *UNIT* INJ,15309
fentaNYL citrate (PF),15225
acetaMINOPHEN 325 MG TAB,15174
2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN,14288
MORPHINE 2 MG/1 ML 1 ML SYR,14098
morphine,14018
Dextrose 50%,14001
MIDAZOLAM,13980
LORazepam,13863
PEPCID,13742
ASPART insulin,13466
fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,13355
LOPRESSOR,13301
PANTOPRAZOLE,13274
BISACODYL 10 MG RE SUPP,13067
3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,13029
propofol,12693
NARCAN,12685
SUBLIMAZE,12680
ATIVAN,12412
METOPROLOL TARTRATE 25 MG PO TABS,12398
ondansetron,12382
PERCOCET 5/325 TAB,12375
acetaminophen,12259
PROTONIX,12172
SODIUM CHLORIDE 0.9 % IV SOLP,12142
LOVENOX,12026
SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,11920
DEXTROSE 50% 25 GRAM/50 ML SYR,11649
473 ML  -  CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,11418
1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,11268
GLUCAGON 1 MG (1 UNIT) INJ,11234
DOCUSATE SODIUM,11168
ASPIRIN 81 MG PO CHEW,10849
