concept,count
Routine Vital Signs,669296
Restraint/Support Systems,601118
Respiratory,577039
Neurological,464630
Treatments,385010
Care Plans,338389
Pain/Sedation,262979
GI/GU,232199
Alarms,188037
Labs,180891
Pulmonary,172835
Skin - Assessment,136988
Skin - Impairment,120027
Cardiovascular,102539
Access Lines - Invasive,97690
Skin - Incisions,95183
Cardiovascular (Pulses),93145
Access Lines - Peripheral,78197
Dialysis,62804
Adm History/FHPA,48747
Hemodynamics,39350
General,19321
Cardiovascular (Pacer Data),12374
Toxicology,10481
Impella,2421
Heartware,1994
IABP,1973
ECMO,1549
MD Progress Note,1287
NICOM,1168
OB-GYN,210
OT Notes,84
Swallow Evaluation,41
RNTriggerNote,3
Tandem Heart,1
