concept,count
"('227969', 'Safety Measures')",140236
"('220045', 'Heart Rate')",102570
"('220210', 'Respiratory Rate')",101593
"('220277', 'O2 saturation pulseoxymetry')",100308
"('220048', 'Heart Rhythm')",92718
"('224650', 'Ectopy Type 1')",81794
"('220181', 'Non Invasive Blood Pressure mean')",66997
"('220179', 'Non Invasive Blood Pressure systolic')",66880
"('220180', 'Non Invasive Blood Pressure diastolic')",66855
"('227958', 'Less Restrictive Measures')",59012
"('224080', 'Head of Bed')",39195
"('224082', 'Turn')",38839
"('224086', 'Activity Tolerance')",37410
"('224093', 'Position')",36547
"('228905', 'Altered Respiratory Status NCP - Interventions')",34907
"('220052', 'Arterial Blood Pressure mean')",33147
"('220050', 'Arterial Blood Pressure systolic')",33053
"('220051', 'Arterial Blood Pressure diastolic')",33042
"('223792', 'Pain Management')",30950
"('228988', 'Safety Restraints NCP - Interventions')",29545
"('224642', 'Temperature Site')",28977
"('229381', 'Orientation')",28093
"('228868', 'Assistance')",26206
"('220739', 'GCS - Eye Opening')",26167
"('223900', 'GCS - Verbal Response')",26077
"('223901', 'GCS - Motor Response')",26014
"('228928', 'Impaired Tissue Perfusion NCP - Interventions')",25367
"('224089', 'Anti Embolic Device')",24393
"('226732', 'O2 Delivery Device(s)')",24370
"('223781', 'Pain Present')",24311
"('224641', 'Alarms On')",23639
"('223761', 'Temperature Fahrenheit')",23533
"('224168', 'Parameters Checked')",23247
"('224073', 'Education Topic')",23174
"('223987', 'RLL Lung Sounds')",23121
"('223989', 'LLL Lung Sounds')",23096
"('223986', 'RUL Lung Sounds')",22877
"('223988', 'LUL Lung Sounds')",22863
"('227944', 'Side Rails')",22011
"('224003', 'Abdominal Assessment')",21439
"('225054', 'Anti Embolic Device Status')",21434
"('223795', 'Pain Assessment Method')",21243
"('224001', 'Diet Type')",20171
"('224088', 'Pressure Reducing Device')",20136
"('224087', 'Therapeutic Bed')",19871
"('229321', 'Activity / Mobility (JH-HLM)')",19692
"('223907', 'Pupil Size Right')",19630
"('224733', 'Pupil Size Left')",19615
"('227121', 'Pupil Response Right')",19418
"('227288', 'Pupil Response Left')",19400
"('224084', 'Activity')",19304
"('223783', 'Pain Location')",19155
"('228947', 'Infection NCP - Interventions')",19032
"('223999', 'Oral Cavity')",18763
"('224015', 'Urine Source')",18312
"('228096', 'Richmond-RAS Scale')",18291
"('228924', 'Impaired Tissue Perfusion NCP - Expected outcomes')",18152
"('227947', 'Reason for Restraint (Non-violent)')",18020
"('224004', 'Bowel Sounds')",17009
"('223934', 'Dorsal PedPulse R')",15921
"('224031', 'Edema Location')",15800
"('226168', 'Oral Care')",15773
"('227954', 'Status and Comfort')",15771
"('223943', 'Dorsal PedPulse L')",15750
"('227955', 'Food and Fluid')",15579
"('223991', 'Cough Effort')",15384
"('224026', 'Skin Integrity')",15375
"('228305', 'ST Segment Monitoring On')",15357
"('228977', 'Altered Mental Status  NCP - Interventions')",15308
"('224016', 'Urine Color')",15247
"('224027', 'Skin Temperature')",15094
"('228299', 'Goal Richmond-RAS Scale')",15049
"('224028', 'Skin Color')",14916
"('224860', 'Skin Condition')",14873
"('223794', 'Pain Level Acceptable')",14852
"('228898', 'Impaired Fluid Balance NCP - Interventions')",14388
"('224876', 'Urine Appearance')",14354
"('223791', 'Pain Level')",14276
"('227948', 'Restraint Device (Non-violent)')",14110
"('223835', 'Inspired O2 Fraction')",13935
"('224651', 'Ectopy Frequency 1')",13909
"('227950', 'Restraint Location')",13510
"('227945', 'Restraint (Non-violent)')",13498
"('228937', 'Post-op Care NCP - Interventions')",13447
"('228397', 'Commands Response')",13446
"('228412', 'Strength R Arm')",13296
"('223784', 'Pain Cause')",13292
"('228409', 'Strength L Arm')",13270
"('228411', 'Strength R Leg')",13266
"('228410', 'Strength L Leg')",13218
"('228890', 'Pain NCP - Interventions')",13087
"('228398', 'Commands')",12864
"('228414', 'Speech')",12798
"('224054', 'Braden Sensory Perception')",12790
"('224055', 'Braden Moisture')",12785
"('224056', 'Braden Activity')",12784
"('224057', 'Braden Mobility')",12782
"('224058', 'Braden Nutrition')",12776
"('224059', 'Braden Friction/Shear')",12729
"('228902', 'Altered Respiratory Status NCP - Expected outcomes')",12694
"('227959', 'Restraints Evaluated')",12500
"('227951', 'Circulation/Skin Integrity')",12447
"('227960', 'Patient/Family Informed')",12364
"('227957', 'Signs of Injury from Intervention')",12352
"('227952', 'Position Change')",12340
"('223992', 'Cough Type')",12294
"('227961', 'Side  Rails')",12222
"('224000', 'Nares R')",12220
"('228957', 'Coping/Knowledge Deficit  NCP - Interventions')",12198
"('227953', 'Range of Motion')",12134
"('224771', 'RLE Temp')",12121
"('223782', 'Pain Type')",12056
"('224773', 'LLE Temp')",12045
"('224769', 'LUE Temp')",11958
"('224767', 'RUE Temp')",11948
"('224879', 'Nares L')",11928
"('227946', 'Restraint Ordered (Non-violent)')",11857
"('223979', 'RLE Color')",11855
"('227956', 'Urinal/Bedpan')",11841
"('223983', 'LLE Color')",11779
"('223982', 'LUE Color')",11703
"('223976', 'RUE Color')",11695
"('223935', 'PostTib. Pulses R')",11567
"('225664', 'Glucose finger stick (range 70-100)')",11501
"('220074', 'Central Venous Pressure')",11463
"('223947', 'PostTib. Pulses L')",11403
"('228298', 'Daily Wake Up')",11384
"('224023', 'Support Systems')",11187
"('228933', 'Post-op Care NCP - Expected outcomes')",11106
"('224017', 'GU Catheter Size')",10851
"('223905', 'Cough Reflex')",10406
"('220339', 'PEEP set')",10404
"('223985', 'Respiratory Pattern')",10357
"('223904', 'Gag Reflex')",10307
"('223951', 'Capillary Refill R')",10269
"('224024', 'Family Communication')",10268
"('223990', 'Respiratory Effort')",10156
"('224308', 'Capillary Refill L')",10108
"('227949', 'Face to Face Eval (Non-violent)')",10108
"('220047', 'Heart Rate Alarm - Low')",10092
"('220046', 'Heart rate Alarm - High')",10086
"('223770', 'O2 Saturation Pulseoxymetry Alarm - Low')",9994
"('223769', 'O2 Saturation Pulseoxymetry Alarm - High')",9940
"('224161', 'Resp Alarm - High')",9880
"('224162', 'Resp Alarm - Low')",9877
"('224687', 'Minute Volume')",9854
"('224697', 'Mean Airway Pressure')",9719
"('226253', 'SpO2 Desat Limit')",9664
"('224685', 'Tidal Volume (observed)')",9579
"('227342', 'Secondary diagnosis')",9568
"('224695', 'Peak Insp. Pressure')",9551
"('227341', 'History of falling (within 3 mnths)')",9550
"('227344', 'IV/Saline lock')",9531
"('227343', 'Ambulatory aid')",9531
"('227345', 'Gait/Transferring')",9530
"('227346', 'Mental status')",9493
"('224689', 'Respiratory Rate (spontaneous)')",9490
"('220292', 'Minute Volume Alarm - Low')",9455
"('220293', 'Minute Volume Alarm - High')",9411
"('223848', 'Ventilator Type')",9404
"('223873', 'Paw High')",9390
"('223876', 'Apnea Interval')",9386
"('223874', 'Vti High')",9183
"('229322', 'Breathing pattern/effort')",9057
"('227517', 'Humidification')",9019
"('224690', 'Respiratory Rate (Total)')",8900
"('224076', 'Education Barrier')",8890
"('227968', 'All Medications Tolerated without Adverse Side Effects')",8709
"('224692', 'Flow Pattern')",8708
"('223875', 'Fspn High')",8700
"('228973', 'Altered Mental Status  NCP - Expected outcomes')",8698
"('224865', 'Flow Sensitivity')",8696
"('223834', 'O2 Flow')",8668
"('225978', 'Slope')",8596
"('223936', 'Radial Pulse R')",8520
"('227368', '20 Gauge Dressing Occlusive')",8405
"('224409', 'Pain Level Response')",8397
"('223948', 'Radial Pulse L')",8389
"('226138', '20 Gauge placed in outside facility')",8326
"('228399', 'Facial Droop')",8318
"('223796', 'Untoward Effect')",8134
"('224735', 'Flow Rate (variable/fixed)')",8101
"('228914', 'Altered Skin Integrity NCP - Interventions')",7998
"('223752', 'Non-Invasive Blood Pressure Alarm - Low')",7883
"('223751', 'Non-Invasive Blood Pressure Alarm - High')",7879
"('220001', 'Problem List')",7845
"('224077', 'Education Method')",7837
"('224785', 'GI #1 Tube Type')",7813
"('227240', 'NBP Alarm Source')",7725
"('224007', 'GI #1 Intub Site')",7688
