concept,count
"('51221', 'Hematocrit')",140739
"('50912', 'Creatinine')",139674
"('51265', 'Platelet Count')",136309
"('51006', 'Urea Nitrogen')",135874
"('51222', 'Hemoglobin')",135141
"('51301', 'White Blood Cells')",134353
"('51249', 'MCHC')",134190
"('51279', 'Red Blood Cells')",134178
"('51250', 'MCV')",134177
"('51248', 'MCH')",134176
"('50971', 'Potassium')",134169
"('51277', 'RDW')",134168
"('50983', 'Sodium')",132768
"('50902', 'Chloride')",131397
"('50882', 'Bicarbonate')",126877
"('50868', 'Anion Gap')",126547
"('50931', 'Glucose')",117325
"('50893', 'Calcium, Total')",93205
"('50960', 'Magnesium')",90909
"('50970', 'Phosphate')",87597
"('51678', 'L')",62423
"('50947', 'I')",62422
"('50934', 'H')",62421
"('50920', 'Estimated GFR (MDRD equation)')",58763
"('50861', 'Alanine Aminotransferase (ALT)')",58233
"('52172', 'RDW-SD')",57955
"('50878', 'Asparate Aminotransferase (AST)')",57247
"('51237', 'INR(PT)')",57062
"('51274', 'PT')",57045
"('51146', 'Basophils')",52532
"('51200', 'Eosinophils')",52532
"('51244', 'Lymphocytes')",52531
"('51254', 'Monocytes')",52531
"('51256', 'Neutrophils')",52531
"('51275', 'PTT')",51612
"('50885', 'Bilirubin, Total')",51004
"('50863', 'Alkaline Phosphatase')",50668
"('50862', 'Albumin')",33137
"('51492', 'Protein')",28849
"('51484', 'Ketone')",28849
"('51486', 'Leukocytes')",28849
"('51487', 'Nitrite')",28849
"('51506', 'Urine Appearance')",28849
"('51491', 'pH')",28849
"('51464', 'Bilirubin')",28849
"('51466', 'Blood')",28849
"('51478', 'Glucose')",28849
"('51498', 'Specific Gravity')",28849
"('51508', 'Urine Color')",28849
"('51514', 'Urobilinogen')",28849
"('51087', 'Length of Urine Collection')",27202
"('52033', 'Specimen Type')",25361
"('52075', 'Absolute Neutrophil Count')",23107
"('50820', 'pH')",22958
"('52073', 'Absolute Eosinophil Count')",22197
"('51133', 'Absolute Lymphocyte Count')",22195
"('52069', 'Absolute Basophil Count')",22195
"('52074', 'Absolute Monocyte Count')",22195
"('50813', 'Lactate')",21393
"('50821', 'pO2')",20792
"('50804', 'Calculated Total CO2')",20780
"('50802', 'Base Excess')",20779
"('50818', 'pCO2')",20775
"('51476', 'Epithelial Cells')",20318
"('51463', 'Bacteria')",20318
"('51493', 'RBC')",20318
"('51516', 'WBC')",20318
"('51519', 'Yeast')",20318
"('50954', 'Lactate Dehydrogenase (LD)')",19502
"('52135', 'Immature Granulocytes')",17761
"('51003', 'Troponin T')",15679
"('51512', 'Urine Mucous')",13455
"('50993', 'Thyroid Stimulating Hormone')",13232
"('50933', 'Green Top Hold (plasma)')",13166
"('50887', 'Blue Top Hold')",12041
"('50910', 'Creatine Kinase (CK)')",11649
"('50808', 'Free Calcium')",11519
"('50907', 'Cholesterol, Total')",10550
"('51000', 'Triglycerides')",10524
"('51266', 'Platelet Smear')",10460
"('50904', 'Cholesterol, HDL')",10335
"('50903', 'Cholesterol Ratio (Total/HDL)')",10300
"('50956', 'Lipase')",10217
"('50822', 'Potassium, Whole Blood')",10146
"('50955', 'Light Green Top Hold')",9887
"('50911', 'Creatine Kinase, MB Isoenzyme')",9732
"('51267', 'Poikilocytosis')",9401
"('51137', 'Anisocytosis')",9400
"('50852', '% Hemoglobin A1c')",9392
"('50905', 'Cholesterol, LDL, Calculated')",9379
"('51246', 'Macrocytes')",9175
"('51268', 'Polychromasia')",9087
"('51252', 'Microcytes')",9055
"('51233', 'Hypochromia')",9032
"('51144', 'Bands')",8633
"('50809', 'Glucose')",8563
"('51082', 'Creatinine, Urine')",8161
"('51613', 'eAG')",8066
"('51251', 'Metamyelocytes')",7873
"('51255', 'Myelocytes')",7821
"('51143', 'Atypical Lymphocytes')",7760
"('50979', 'Red Top Hold')",7490
"('50817', 'Oxygen Saturation')",7268
"('50976', 'Protein, Total')",6830
"('51103', 'Uhold')",6604
"('50924', 'Ferritin')",6182
"('50812', 'Intubated')",6118
"('51107', 'Urine tube, held')",5440
"('50986', 'tacroFK')",5316
"('50930', 'Globulin')",5281
"('51007', 'Uric Acid')",5222
"('50952', 'Iron')",5057
"('50810', 'Hematocrit, Calculated')",4808
"('50811', 'Hemoglobin')",4808
"('50889', 'C-Reactive Protein')",4762
"('51260', 'Ovalocytes')",4732
"('50824', 'Sodium, Whole Blood')",4535
"('51482', 'Hyaline Casts')",4508
"('50998', 'Transferrin')",4478
"('50953', 'Iron Binding Capacity, Total')",4473
"('51214', 'Fibrinogen, Functional')",4415
"('51010', 'Vitamin B12')",4334
"('50995', 'Thyroxine (T4), Free')",4231
"('51102', 'Total Protein, Urine')",4148
"('50825', 'Temperature')",4134
"('51009', 'Vancomycin')",3899
"('50883', 'Bilirubin, Direct')",3892
"('50922', 'Ethanol')",3831
"('50867', 'Amylase')",3811
"('50856', 'Acetaminophen')",3761
"('50884', 'Bilirubin, Indirect')",3671
"('50981', 'Salicylate')",3669
"('50999', 'Tricyclic Antidepressant Screen')",3646
"('51099', 'Protein/Creatinine Ratio')",3609
"('51218', 'Granulocyte Count')",3583
"('50806', 'Chloride, Whole Blood')",3493
"('50919', 'EDTA Hold')",3414
"('51079', 'Cocaine, Urine')",3381
"('51092', 'Opiate Screen, Urine')",3370
"('51071', 'Amphetamine Screen, Urine')",3356
"('51075', 'Benzodiazepine Screen, Urine')",3351
"('51074', 'Barbiturate Screen, Urine')",3341
"('51090', 'Methadone, Urine')",3336
"('50853', '25-OH Vitamin D')",3269
"('51085', 'HCG, Urine, Qualitative')",3242
"('50880', 'Benzodiazepine Screen')",3069
"('50879', 'Barbiturate Screen')",3063
"('51296', 'Teardrop Cells')",2883
"('50816', 'Oxygen')",2766
"('51100', 'Sodium, Urine')",2737
"('50963', 'NTproBNP')",2732
"('50941', 'Hepatitis B Surface Antigen')",2707
"('51257', 'Nucleated Red Cells')",2568
"('51501', 'Transitional Epithelial Cells')",2537
"('50943', 'Hepatitis C Virus Antibody')",2522
"('50974', 'Prostate Specific Antigen')",2425
"('51288', 'Sedimentation Rate')",2417
"('53153', 'HIV Screen')",2365
"('50940', 'Hepatitis B Surface Antibody')",2345
"('51069', 'Albumin, Urine')",2340
"('51287', 'Schistocytes')",2331
"('51070', 'Albumin/Creatinine, Urine')",2271
"('50925', 'Folate')",2226
"('50819', 'PEEP')",2226
"('50827', 'Ventilation Rate')",2166
"('50828', 'Ventilator')",2156
"('51283', 'Reticulocyte Count, Automated')",2128
"('51093', 'Osmolality, Urine')",2120
"('50965', 'Parathyroid Hormone')",2105
"('50950', 'Immunoglobulin G')",2025
"('50826', 'Tidal Volume')",1919
"('50949', 'Immunoglobulin A')",1886
"('50975', 'Protein Electrophoresis')",1846
"('50935', 'Haptoglobin')",1786
"('51097', 'Potassium, Urine')",1704
"('51078', 'Chloride, Urine')",1670
"('50942', 'Hepatitis B Virus Core Antibody')",1649
"('50964', 'Osmolality, Measured')",1632
"('50900', 'Carcinoembyronic Antigen (CEA)')",1621
"('50951', 'Immunoglobulin M')",1599
"('50906', 'Cholesterol, LDL, Measured')",1566
"('50864', 'Alpha-Fetoprotein')",1515
"('50946', 'Human Chorionic Gonadotropin')",1445
"('51462', 'Amorphous Crystals')",1444
"('51104', 'Urea Nitrogen, Urine')",1395
"('52111', 'Echinocytes')",1379
"('51989', 'Oxycodone')",1353
"('51733', 'STX2')",1163
"('51734', 'STX3')",1149
"('52171', 'RBC Morphology')",1130
"('51732', 'STX1')",1120
"('51737', 'STX6')",1115
"('51282', 'Reticulocyte Count, Absolute')",1114
"('52007', 'UTX4')",1111
"('52006', 'UTX3')",1099
"('52008', 'UTX5')",1098
"('52004', 'UTX1')",1098
"('52005', 'UTX2')",1092
"('52010', 'UTX7')",1091
"('50909', 'Cortisol')",1088
"('52009', 'UTX6')",1059
"('51564', 'ARCH-1')",1052
"('51176', 'CD3 Cells, Percent')",1047
"('50967', 'Phenytoin')",1036
"('50908', 'CK-MB Index')",1027
"('51180', 'CD4 Cells, Percent')",1020
"('51194', 'CD8 Cells, Percent')",1020
"('50873', 'Anti-Nuclear Antibody')",1017
"('50803', 'Calculated Bicarbonate, Whole Blood')",988
"('51294', 'Target Cells')",979
"('51300', 'WBC Count')",974
"('52769', 'Absolute Lymphocyte Count')",974
"('51245', 'Lymphocytes, Percent')",974
"('51181', 'CD4/CD8 Ratio')",974
"('51132', 'Absolute CD8 Count')",974
"('51131', 'Absolute CD4 Count')",974
"('51130', 'Absolute CD3 Count')",974
"('51706', 'Problem Specimen')",965
"('51657', 'HPE1')",954
"('50914', 'Cyclosporin')",927
"('52023', 'Assist/Control')",926
"('50978', 'Rapamycin')",894
"('51663', 'HPE7')",882
"('50915', 'D-Dimer')",876
"('51658', 'HPE2')",825
"('50994', 'Thyroxine (T4)')",812
"('51001', 'Triiodothyronine (T3)')",799
"('51865', 'Influenza A by PCR')",794
"('51873', 'Influenza B by PCR')",794
"('51518', 'WBC Clumps')",769
"('51098', 'Prot. Electrophoresis, Urine')",759
"('50988', 'Testosterone')",748
"('50937', 'Hepatitis A Virus Antibody')",727
"('51469', 'Calcium Oxalate Crystals')",693
"('52281', 'Polys')",690
"('52272', 'Monocytes')",690
"('52264', 'Lymphs')",690
"('52286', 'Total Nucleated Cells, CSF')",689
"('52285', 'RBC, CSF')",687
"('51659', 'HPE3')",664
"('50996', 'Tissue Transglutaminase Ab, IgA')",658
"('50927', 'Gamma Glutamyltransferase')",644
"('51148', 'Blasts')",644
"('51008', 'Valproic Acid')",642
"('51479', 'Granular Casts')",635
"('51752', 'Voided Specimen')",620
"('51197', 'Elliptocytes')",619
"('51292', 'Spherocytes')",598
"('51625', 'Free Kappa')",589
"('51627', 'Free Lambda')",588
"('51626', 'Free Kappa/Free Lambda Ratio')",588
"('50917', 'Digoxin')",583
"('51219', 'H/O Smear')",568
"('51145', 'Basophilic Stippling')",565
"('51736', 'STX5')",522
"('51735', 'STX4')",520
"('51802', 'Total Protein, CSF')",520
"('50892', 'CA-125')",516
"('50823', 'Required O2')",500
"('51790', 'Glucose, CSF')",500
"('50801', 'Alveolar-arterial Gradient')",498
"('50891', 'C4')",482
"('51108', 'Urine Volume')",476
"('51094', 'pH')",472
"('50973', 'Prolactin')",458
"('50890', 'C3')",457
"('51134', 'Acanthocytes')",447
"('52065', 'Total Nucleated Cells, Ascites')",436
"('51125', 'Polys')",436
"('51120', 'Monocytes')",436
"('51116', 'Lymphocytes')",436
"('51127', 'RBC, Ascites')",429
"('51598', 'Cytomegalovirus Viral Load')",423
"('50948', 'Immunofixation')",407
"('51196', 'D-Dimer')",400
"('51067', '24 hr Creatinine')",399
"('50898', 'Cancer Antigen 27.29')",392
"('51879', 'Neisseria gonorrhoeae')",392
"('50815', 'O2 Flow')",391
"('51846', 'Chlamydia trachomatis')",391
"('51903', 'PAN1')",391
"('50957', 'Lithium')",387
"('51089', 'Marijuana')",385
"('50980', 'Rheumatoid Factor')",379
"('51117', 'Macrophage')",364
"('50926', 'Follicle Stimulating Hormone')",358
"('50982', 'Sex Hormone Binding Globulin')",353
"('51446', 'Lymphocytes')",350
"('51450', 'Monos')",350
"('51455', 'Polys')",350
"('52391', 'Total Nucleated Cells, Pleural')",350
"('51259', 'Other Cells')",350
"('50894', 'Calculated Free Testosterone')",345
"('50881', 'Beta-2 Microglobulin')",341
"('50961', 'Methotrexate')",338
"('51054', 'Lactate Dehydrogenase, Pleural')",336
"('51269', 'Promyelocytes')",332
"('51059', 'Total Protein, Pleural')",331
"('50895', 'Calculated TBG')",322
"('51005', 'Uptake Ratio')",321
"('50966', 'Phenobarbital')",320
"('50896', 'Calculated Thyroxine (T4) Index')",320
"('51457', 'RBC, Pleural')",319
"('51147', 'Bite Cells')",313
"('51474', 'Eosinophils')",306
"('50918', 'Double Stranded DNA')",300
"('51240', 'Large Platelets')",299
"('50932', 'Gray Top Hold (plasma)')",298
"('51053', 'Glucose, Pleural')",297
"('52018', 'PAN1')",291
"('51986', 'Neisseria gonorrhoeae')",290
"('51497', 'Renal Epithelial Cells')",288
"('50849', 'Total Protein, Ascites')",288
"('51972', 'Chlamydia trachomatis')",288
"('50872', 'Anti-Neutrophil Cytoplasmic Antibody')",286
"('51118', 'Mesothelial Cell')",282
"('50877', 'Anti-Thyroglobulin Antibodies')",280
"('50876', 'Anti-Smooth Muscle Antibody')",270
"('50874', 'Anti-Nuclear Antibody, Titer')",267
"('51086', 'Immunofixation, Urine')",266
"('51447', 'Macrophages')",261
"('50958', 'Luteinizing Hormone')",255
"('52312', 'Total Nucleated Cells, Joint')",251
"('51375', 'Lymphocytes')",250
"('51379', 'Monocytes')",250
"('51382', 'Polys')",250
"('52036', 'Voided Specimen')",250
"('50866', 'Ammonia')",246
"('51660', 'HPE4')",244
"('50835', 'Albumin, Ascites')",239
"('51227', 'Hemogloblin S')",238
"('51226', 'Hemogloblin A')",238
"('51224', 'Hemoglobin C')",238
"('50871', 'Anti-Mitochondrial Antibody')",236
"('50805', 'Carboxyhemoglobin')",234
"('51383', 'RBC, Joint Fluid')",224
"('50938', 'Hepatitis A Virus IgM Antibody')",224
"('50831', 'pH')",223
"('51231', 'Howell-Jolly Bodies')",221
"('51373', 'Joint Crystals, Number')",217
"('50992', 'Thyroid Peroxidase Antibodies')",214
"('51068', '24 hr Protein')",213
"('51077', 'Calcium, Urine')",210
"('51424', 'Immunophenotyping')",208
"('51338', 'Immunophenotyping')",205
"('51046', 'Albumin, Pleural')",204
"('51216', 'Fragmented Cells')",203
"('50814', 'Methemoglobin')",202
"('51513', 'Urine Specimen Type')",201
"('50991', 'Thyroglobulin')",200
"('51150', 'Blood Parasite Smear')",197
"('51261', 'Pappenheimer Bodies')",191
"('51448', 'Mesothelial Cells')",189
"('50842', 'Glucose, Ascites')",186
"('52024', 'Creatinine, Whole Blood')",185
"('52220', 'wbcp')",184
"('51436', 'Polys')",174
"('51431', 'Monos')",174
"('51427', 'Lymphocytes')",174
"('51051', 'Cholesterol, Pleural')",173
"('51651', 'Hepatitis C Viral Load')",172
"('51213', 'Fibrin Degradation Products')",170
"('52425', 'XUCU')",168
"('51236', 'Inpatient Hematology/Oncology Smear')",167
"('50899', 'Carbamazepine')",167
"('51243', 'Lupus Anticoagulant')",158
"('51748', 'Treponema pallidum (Syphilis) Ab')",156
"('51225', 'Hemoglobin F')",155
"('51749', 'Treponema pallidum (syphilis) value')",155
"('50939', 'Hepatitis B Core Antibody, IgM')",151
"('52026', 'Estimated GFR (MDRD equation)')",151
"('51223', 'Hemoglobin A2')",149
"('51095', 'Phosphate, Urine')",148
"('52014', 'Voided Specimen')",148
"('51648', 'Hepatitis B Viral Load')",148
"('51460', 'Blood, Occult')",145
"('51228', 'Heparin')",144
"('50843', 'Lactate Dehydrogenase, Ascites')",143
"('52266', 'Macrophage')",142
"('50921', 'Estradiol')",139
"('51234', 'Immunophenotyping')",136
"('50929', 'Gentamicin')",127
"('51411', 'CD45')",124
"('51284', 'Reticulocyte Count, Manual')",123
"('51276', 'Quantitative G6PD')",118
"('51428', 'Macrophage')",118
"('51453', 'Other')",118
"('51933', 'C. diff PCR')",118
"('51376', 'Macrophage')",117
"('51398', 'CD19')",117
"('51289', 'Serum Viscosity')",114
"('51795', 'Lactate Dehydrogenase, CSF')",111
"('51198', 'Envelope Cells')",110
"('50836', 'Amylase, Ascites')",107
"('51956', 'CDT027')",107
"('51899', 'Trichomonas vaginalis')",106
"('51904', 'PAN2')",106
"('51839', 'Anat Path Hold')",106
"('51123', 'Other')",105
"('51342', 'Wright Giemsa')",105
"('51425', 'Kappa')",104
"('51426', 'Lambda')",104
"('52195', 'Voided Specimen')",103
"('50989', 'Testosterone, Free')",101
"('51444', 'Eosinophils')",97
"('51076', 'Bicarbonate, Urine')",97
"('51229', 'Heparin, LMW')",96
"('52427', 'UCU2')",96
"('50997', 'Tobramycin')",95
"('50841', 'Creatinine, Ascites')",94
"('51505', 'Uric Acid Crystals')",94
"('50838', 'Bilirubin, Total, Ascites')",91
"('51138', 'Anticardiolipin Antibody IgG')",91
"('51139', 'Anticardiolipin Antibody IgM')",91
"('51066', '24 hr Calcium')",88
"('51325', 'CD45')",86
"('51263', 'Plasma Cells')",83
"('51662', 'HPE6')",82
"('51047', 'Amylase, Pleural')",81
"('51140', 'Antithrombin')",80
"('51654', 'HIV 1 Viral Load')",80
"('52012', 'UTX9')",80
"('51183', 'CD45')",78
"('50913', 'Cryoglobulin')",78
"('51262', 'Pencil Cells')",78
"('51088', 'Magnesium, Urine')",77
"('52278', 'Other')",77
"('51164', 'CD19')",76
"('50945', 'Homocysteine')",76
"('51412', 'CD5')",76
"('51184', 'CD5')",75
"('51152', 'CD10')",74
"('51168', 'CD20')",74
"('51238', 'Kappa')",74
"('51239', 'Lambda')",74
"('51388', 'CD10')",74
"('50916', 'DHEA-Sulfate')",74
"('51230', 'HLA-DR')",73
